Name,Description,Latitude,Longitude,Page,Visited
"Middle Branch Escanaba River/US-41 Outcrop","41-S",46.49409,-87.87069,143,no
"M-95 Republic 4.25 Mile North Outcrop","95-1",46.46712,-87.93479,145,no
"Jasper Knob Outcrop","28B-1",46.48673,-87.65451,147,no
"Jackson Mile Park Outcrops","TOB-1",46.49995,-87.61391,149,no
"Carp River East, South M-28/US-41 Outcrop","28/41-1",46.52496,-87.57148,151,no
"Annex Roac/M-35 Outcrop","ANX-1",46.48753,-87.52881,153,no
"Power line/Route 480 Outcrop","480-1", 46.48487,-87.47298,155,no
"West of MI-35/Route 480 Outcrop","480-2",46.49821,-87.54756,159,no
"Fifteen Creek North Outcrop","35-1",46.38105,-87.54329,161,no
"Alger Falls Outcrop","94-1",46.39298,-86.64823,163,no
"M-28/Shore Drive Southeast Outcrop","28-6",46.48080,-86.95649,165,no
"Pictured Rocks National Lakeshore","MCR-1",46.49268,-86.54899,167,no
"Tahquamenon Falls","123-1",46.58239,-85.25466,169,no
"Sugarloaf Mountain","550-1",46.60306,-87.46000,171,no
"St. Ignace Rest Area Outcrop","I75-1",45.88124,-84.74172,173,no
"Pemene Falls East Side off State Road Outcrop","SR-1",45.59409,-87.77571,175,no
"Big Bay Road (Route 550) Outcrop","BBR-1",46.57253,-87.41268,179,no
"Tourist Park Falls","PMR-1",46.57126,-87.40954,181,no
"Founders Rock","LSD-1",46.53640,-87.39435,183,no
"Peridotite in sandstone northwest corner","PWD-2", 46.59339, -87.38091,189,no
"Mt. Marquette Road/Trail Outcrop","MMR-1",46.51266,-87.39900,191,no
"Route M-28/US-41 and Prison Road Outcrop","28-1",46.51242,-87.37550,193,no
"Route M-28/US-41, Southbound Outcrop","28-2",46.50562,-87.36488,195,no
"Harvey Quarry","28-3",46.50363,-87.36368,197,no
"Quartzite Point Outcrop","28-4",46.51210,-87.37415,199,no
